aX,aY,aZ,gX,gY,gZ
0.959,0.011,0.233,2.869,-2.502,3.052
0.957,0.020,0.237,2.014,-1.343,2.991
0.957,0.032,0.240,3.662,-3.357,2.502
0.954,0.043,0.244,6.226,-1.587,1.648
0.951,0.007,0.214,8.179,-1.892,0.549
0.952,-0.027,0.219,6.042,-2.686,0.366
0.946,-0.044,0.240,4.883,-2.930,1.892
0.954,-0.016,0.249,3.052,-3.052,3.601
0.954,-0.010,0.245,2.686,-2.014,4.272
0.958,0.009,0.270,1.160,-1.587,4.211

1.023,1.540,0.420,35.339,-80.872,-149.719
0.987,1.834,0.625,46.814,-85.022,-191.711
0.875,1.781,0.881,44.373,-80.505,-243.835
0.756,1.472,1.213,29.602,-65.552,-294.922
0.859,1.055,1.846,2.808,-46.448,-334.045
0.610,0.619,2.438,-15.381,-8.362,-357.849
0.641,0.337,2.837,-39.124,56.702,-369.568
0.362,-0.087,2.610,-53.711,134.216,-372.253
0.166,-0.666,2.377,-59.814,190.674,-368.896
0.065,-1.281,2.185,-48.096,219.421,-364.868
-0.083,-1.595,1.866,-29.053,252.747,-335.327
-0.193,-1.856,1.535,-29.175,284.546,-299.988
-0.211,-2.072,1.408,-38.940,303.650,-264.526
-0.191,-2.253,1.452,-41.809,310.547,-224.365
-0.202,-2.173,1.451,-37.354,320.435,-172.974
-0.236,-2.110,1.347,-32.532,334.839,-129.150
-0.283,-2.079,1.129,-23.743,349.182,-96.741
-0.358,-1.920,0.977,-10.620,361.084,-66.284
-0.423,-1.799,0.744,9.888,369.873,-41.992
-0.512,-1.773,0.481,31.433,370.972,-25.513
-0.520,-1.778,0.308,46.082,364.136,-9.033
-0.503,-1.715,0.227,68.665,355.103,10.254
-0.498,-1.700,0.165,92.224,342.285,29.480
-0.555,-1.745,0.032,117.981,336.670,52.917
-0.544,-1.739,-0.084,127.258,330.688,84.839
-0.579,-1.564,-0.219,145.325,321.594,122.925
-0.593,-1.348,-0.385,160.645,315.613,160.522
-0.678,-1.123,-0.602,167.908,308.838,192.505
-0.736,-0.983,-0.975,174.072,300.354,216.736
-0.758,-0.918,-1.229,171.570,283.142,235.229
-0.735,-0.685,-1.362,170.532,253.784,254.822
-0.723,-0.456,-1.508,181.641,224.121,267.151
-0.706,-0.325,-1.641,192.261,190.857,267.395
-0.694,-0.261,-1.812,212.585,152.771,264.587
-0.660,-0.135,-1.811,217.407,108.398,262.329
-0.587,0.035,-1.649,204.285,64.331,260.620
-0.486,0.187,-1.490,197.754,30.945,256.348
-0.430,0.357,-1.358,191.040,11.108,250.122
-0.369,0.514,-1.417,185.791,2.808,241.028
-0.313,0.569,-1.492,188.965,-7.690,224.548
-0.318,0.494,-1.591,200.500,-27.222,203.247
-0.346,0.418,-1.675,205.627,-50.354,186.890
-0.268,0.484,-1.755,188.843,-79.529,186.646
-0.169,0.841,-1.736,155.701,-113.708,202.148
-0.091,1.317,-1.743,131.165,-142.456,210.999
-0.023,1.577,-1.813,118.408,-164.124,194.031
0.046,1.717,-1.812,109.619,-190.247,158.997
0.097,1.649,-1.603,115.601,-225.891,113.953
0.140,1.346,-1.245,131.470,-261.230,64.575
0.220,1.285,-0.923,152.771,-289.978,30.640
0.269,1.365,-0.671,178.284,-310.486,5.127
0.313,1.362,-0.600,190.002,-315.674,-23.376
0.333,1.384,-0.619,186.890,-314.880,-51.208
0.336,1.368,-0.529,177.063,-322.449,-77.271
0.369,1.264,-0.224,163.086,-337.219,-103.271
0.446,1.135,0.197,150.269,-346.191,-125.000
0.538,0.989,0.495,136.292,-335.083,-142.029
0.604,0.944,0.633,126.831,-309.387,-155.273
0.636,0.959,0.559,125.793,-278.748,-167.114
0.646,0.885,0.448,127.258,-255.554,-185.303
0.609,0.646,0.458,134.705,-240.479,-208.374
0.562,0.365,0.516,143.494,-232.178,-225.037
0.597,0.101,0.603,147.034,-223.877,-232.056
0.643,-0.250,0.865,148.193,-222.046,-233.459
0.747,-0.497,1.117,141.785,-211.243,-223.328
0.855,-0.633,1.340,130.188,-185.669,-205.017
0.933,-0.686,1.469,117.065,-155.701,-182.861
0.973,-0.774,1.377,107.117,-118.774,-159.119
0.920,-0.643,1.118,94.116,-79.224,-131.775
0.868,-0.723,0.864,87.952,-51.514,-113.281
0.880,-0.832,0.811,68.298,-38.025,-96.191
0.895,-0.668,0.851,37.659,-25.818,-67.505
0.906,-0.504,0.828,13.489,-10.071,-41.870
0.933,-0.406,0.827,-5.859,3.662,-27.222
0.946,-0.375,0.801,-16.907,15.137,-19.104
0.947,-0.363,0.769,-16.296,25.452,-14.465
0.953,-0.312,0.702,-6.409,30.640,-10.193
0.939,-0.280,0.581,3.723,37.720,-8.606
0.926,-0.237,0.447,9.705,41.443,-7.935
0.874,-0.206,0.276,12.695,39.734,-7.141
0.850,-0.182,0.135,9.827,38.391,-4.761
0.872,-0.209,0.142,3.967,27.893,-2.869
0.899,-0.158,0.242,-3.906,18.555,0.793
0.914,-0.104,0.279,-8.423,17.822,4.761
0.919,-0.096,0.281,-11.475,15.625,5.249
0.929,-0.071,0.281,-10.742,16.479,5.493
0.926,-0.091,0.254,-7.324,14.160,4.578
0.930,-0.132,0.262,-5.920,12.634,3.845
0.935,-0.086,0.277,-2.869,9.827,5.920
0.931,-0.017,0.267,0.671,9.766,7.080
0.930,-0.003,0.253,5.066,7.385,4.944
0.922,-0.041,0.253,8.911,6.470,1.587
0.922,-0.069,0.254,8.789,9.277,0.916
0.926,-0.034,0.254,5.737,7.935,2.625
0.935,-0.044,0.271,2.869,7.019,3.357
0.943,-0.052,0.263,-0.610,11.047,4.639
0.939,-0.083,0.251,-5.615,10.742,6.714
0.937,-0.060,0.245,-12.695,11.169,10.132
0.945,0.006,0.248,-17.944,13.672,13.245
0.952,0.066,0.253,-18.066,11.292,13.123
0.942,0.064,0.235,-14.099,12.451,9.644
