aX,aY,aZ,gX,gY,gZ
0.202,-1.289,-1.196,-144.775,-57.068,-192.810
0.245,-1.062,-1.235,-126.831,-71.106,-161.255
0.278,-0.747,-1.127,-118.958,-87.097,-133.240
0.260,-0.545,-1.022,-116.455,-100.464,-117.981
0.245,-0.425,-0.879,-120.911,-113.647,-109.314
0.234,-0.307,-0.788,-131.775,-119.141,-101.501
0.183,-0.308,-0.864,-139.343,-123.962,-98.389
0.156,-0.456,-1.044,-139.709,-130.249,-98.022
0.139,-0.805,-1.056,-137.512,-151.245,-96.008
0.167,-1.008,-1.051,-125.977,-178.406,-83.374
0.188,-0.989,-1.046,-110.229,-200.989,-62.256
0.203,-0.944,-0.918,-93.933,-221.802,-47.180
0.243,-1.058,-0.706,-77.148,-238.281,-39.490
0.269,-1.085,-0.640,-61.340,-241.821,-28.931
0.245,-1.147,-0.652,-41.809,-242.126,-17.029
0.236,-1.352,-0.637,-24.536,-245.300,-6.775
0.215,-1.453,-0.689,-17.700,-248.657,12.329
0.220,-1.339,-0.706,-20.752,-256.104,42.358
0.231,-1.171,-0.513,-22.583,-269.348,70.679
0.272,-1.112,-0.146,-15.869,-285.278,87.830
0.307,-0.957,0.109,0.671,-286.011,103.088
0.355,-0.914,0.221,24.719,-275.513,109.253
0.401,-0.730,0.374,42.297,-263.550,114.014
0.427,-0.576,0.468,50.781,-247.742,118.042
0.464,-0.498,0.474,59.998,-228.699,117.920
0.499,-0.503,0.399,62.561,-211.670,117.859
0.542,-0.630,0.386,58.716,-200.317,118.469
0.615,-0.797,0.571,52.307,-194.580,124.390
0.659,-0.928,0.691,42.419,-182.617,136.963
0.696,-0.946,0.739,31.799,-162.476,155.212
0.708,-0.713,0.888,14.526,-139.587,175.049
0.698,-0.413,0.925,-2.625,-113.525,190.247
0.701,-0.156,0.899,-9.521,-87.524,196.472
0.724,0.086,0.799,-10.132,-67.322,196.045
0.821,0.501,0.816,-4.639,-56.885,191.101
0.911,0.744,0.858,5.798,-50.293,173.401
0.954,0.639,0.842,20.630,-40.466,142.456
0.974,0.502,0.807,31.860,-30.579,116.028
1.001,0.491,0.700,38.086,-19.836,98.938
1.006,0.391,0.589,38.818,-11.414,83.740
1.023,0.195,0.596,35.217,-5.981,71.472
1.036,0.100,0.606,27.039,-0.549,67.200
1.034,0.217,0.550,17.456,9.949,68.298
1.015,0.365,0.419,5.859,20.569,66.528
0.995,0.404,0.318,-3.845,25.940,58.899
1.002,0.434,0.285,-10.986,25.940,50.903
1.009,0.406,0.266,-11.597,23.926,42.603
1.017,0.369,0.278,-8.301,20.935,34.363
1.025,0.340,0.274,-1.709,16.846,28.015
1.038,0.350,0.335,6.165,12.695,22.217
1.029,0.262,0.358,11.536,14.832,15.503
1.028,0.251,0.345,13.306,21.545,11.780
1.015,0.322,0.266,11.719,28.076,10.925
0.984,0.274,0.125,7.141,32.288,7.385
0.961,0.194,-0.001,-0.122,32.288,5.432
0.967,0.188,0.022,-6.409,26.611,7.935
0.993,0.158,0.099,-11.597,18.188,10.620
0.994,0.165,0.101,-14.832,15.015,12.268
0.998,0.205,0.102,-15.320,15.564,13.428
1.000,0.287,0.136,-12.268,17.273,11.841
0.993,0.364,0.152,-8.728,19.043,7.629
0.979,0.367,0.081,-4.333,21.851,0.732
0.972,0.347,0.024,-1.099,21.057,-5.798
0.973,0.286,0.001,1.099,16.785,-11.169
0.973,0.226,0.004,0.244,12.451,-14.404
0.975,0.105,0.028,-3.540,8.667,-15.747
0.981,0.068,0.036,-5.615,5.798,-13.489
0.979,0.019,0.070,-5.981,4.395,-10.010
0.987,0.031,0.096,-5.188,3.418,-5.920

0.897,-1.032,0.697,-121.216,57.861,156.006
0.812,-0.985,0.731,-118.774,75.317,191.406
0.723,-0.829,0.744,-110.107,91.614,227.173
0.606,-0.630,0.660,-95.459,104.675,257.324
0.488,-0.418,0.535,-79.712,118.103,283.875
0.397,-0.233,0.575,-65.735,128.784,305.176
0.318,0.039,0.686,-53.833,139.404,323.364
0.297,0.397,0.823,-38.391,151.062,335.815
0.248,0.669,0.840,-20.447,173.950,336.487
0.208,0.891,0.826,-10.620,200.134,330.444
0.119,1.022,0.752,-6.714,222.595,320.068
0.014,1.009,0.610,-8.240,250.793,306.702
-0.075,1.073,0.448,-9.827,271.912,295.471
-0.127,1.359,0.262,-10.498,292.725,286.865
-0.138,1.806,0.092,-9.277,310.913,271.179
-0.081,2.345,-0.085,-14.526,323.792,242.065
-0.039,2.793,-0.396,-21.545,331.360,195.007
-0.030,2.942,-0.656,-30.762,329.834,129.395
-0.023,2.688,-0.856,-40.710,320.312,56.091
-0.129,2.362,-1.108,-47.913,304.016,-5.310
-0.210,2.188,-1.268,-53.223,280.518,-49.011
-0.221,2.148,-1.455,-49.805,254.944,-85.693
-0.248,2.153,-1.714,-50.476,226.501,-121.338
-0.316,1.897,-1.827,-62.134,197.266,-158.997
-0.307,1.616,-1.595,-74.097,153.503,-191.650
-0.159,1.493,-1.165,-77.026,116.516,-215.271
-0.190,1.349,-0.889,-88.867,96.436,-234.253
-0.145,1.372,-0.617,-117.981,88.318,-242.981
-0.269,1.462,-0.587,-134.033,89.478,-253.784
-0.293,1.415,-0.613,-146.545,85.510,-274.231
-0.326,1.381,-0.731,-152.710,79.590,-297.791
-0.408,1.407,-0.686,-177.307,64.514,-319.031
-0.431,1.123,-0.593,-203.796,50.171,-343.018
-0.351,0.855,-0.484,-214.844,35.461,-355.347
-0.410,0.475,-0.478,-217.834,26.611,-370.667
-0.402,0.120,-0.705,-216.370,32.532,-384.705
-0.353,-0.229,-0.919,-221.313,38.086,-384.155
-0.353,-0.711,-1.049,-210.266,31.982,-384.949
-0.251,-1.104,-1.107,-197.754,19.836,-369.812
-0.142,-1.331,-1.209,-186.646,8.240,-338.379
-0.009,-1.507,-1.210,-179.749,-2.808,-302.368
0.069,-1.431,-1.180,-167.786,-21.606,-264.099
0.155,-1.158,-1.156,-152.588,-38.818,-223.633
0.182,-0.874,-1.084,-139.709,-60.181,-193.481
0.211,-0.607,-0.881,-138.428,-82.336,-174.622
0.228,-0.562,-0.633,-132.568,-96.619,-168.091
0.243,-0.598,-0.564,-120.117,-102.478,-165.466
0.185,-0.522,-0.719,-110.901,-93.689,-157.104
0.140,-0.588,-0.906,-104.492,-94.543,-153.320
0.130,-0.767,-0.959,-96.741,-106.689,-155.029
0.095,-0.951,-0.943,-94.604,-122.559,-149.109
0.102,-1.153,-0.952,-90.881,-139.282,-135.925
