aX,aY,aZ,gX,gY,gZ
0.979,-0.085,0.014,0.977,-1.038,-0.427
0.985,-0.075,0.030,0.854,-2.014,0.977
0.991,-0.056,0.038,0.977,-1.953,2.136

0.125,0.089,2.604,-15.442,-88.806,5.127
0.138,0.103,2.616,-24.536,-55.420,3.052
0.128,0.107,2.606,-25.696,-27.283,0.793
0.129,0.066,2.663,-22.766,-3.174,-1.526
0.144,0.029,2.767,-17.212,20.508,-2.258
0.152,0.030,2.745,-7.568,48.096,-2.136
0.158,0.001,2.644,4.028,78.125,-1.953
0.162,-0.014,2.537,13.977,103.699,-1.038
0.179,-0.002,2.412,20.935,127.930,0.793
0.200,0.025,2.256,25.635,156.921,2.380
0.191,0.032,2.047,28.931,187.927,3.113
0.180,-0.005,1.863,29.297,212.769,3.479
0.179,-0.006,1.660,27.100,232.300,5.066
0.199,0.011,1.470,21.973,252.014,7.324
0.224,0.036,1.282,17.212,263.367,8.911
0.247,0.012,1.130,14.404,271.851,9.460
0.274,0.029,0.965,12.390,275.635,10.803
0.299,0.060,0.735,11.169,277.466,12.451
0.332,0.107,0.511,8.789,273.621,12.573
0.380,0.126,0.501,4.883,260.315,10.986
0.423,0.161,0.500,3.845,247.559,8.789
0.456,0.192,0.363,3.845,242.737,6.409
0.476,0.181,0.236,1.953,237.000,2.319
0.487,0.125,0.163,-0.488,228.882,-2.075
0.504,0.059,0.052,-5.188,221.924,-4.639
0.529,0.045,-0.054,-11.292,214.355,-4.761
0.576,0.047,-0.046,-18.860,202.637,-4.333
0.611,0.057,-0.080,-23.010,193.787,-4.333
0.630,0.055,-0.169,-26.184,187.439,-5.188
0.654,0.014,-0.204,-29.114,177.979,-6.775
0.689,0.035,-0.246,-30.090,167.725,-6.653
0.701,0.027,-0.292,-30.579,157.593,-7.202
0.719,0.014,-0.302,-30.884,145.142,-8.667
0.750,0.021,-0.291,-30.762,133.057,-9.460
0.778,0.036,-0.299,-27.954,122.864,-10.864
0.800,0.044,-0.306,-23.743,112.488,-13.367
0.810,0.033,-0.367,-17.334,103.333,-16.663
0.812,-0.007,-0.411,-11.658,91.858,-19.836
0.816,-0.046,-0.385,-5.676,77.454,-21.667
0.827,-0.072,-0.355,-1.099,65.796,-21.362
0.833,-0.112,-0.322,0.732,57.434,-20.935
0.843,-0.112,-0.334,0.916,51.086,-18.616
0.850,-0.115,-0.305,0.427,45.898,-16.052
0.862,-0.135,-0.261,-0.793,40.466,-14.038
0.861,-0.154,-0.254,-3.235,38.696,-11.841
0.870,-0.143,-0.266,-6.165,38.574,-8.179
0.892,-0.105,-0.226,-8.789,34.912,-4.639
0.913,-0.075,-0.219,-9.949,32.654,-2.747
0.924,-0.054,-0.200,-10.315,29.968,-2.319
0.935,-0.047,-0.181,-10.071,27.405,-2.319
0.937,-0.047,-0.200,-8.728,25.635,-2.747
0.940,-0.036,-0.219,-7.629,22.461,-3.540
0.942,-0.048,-0.209,-5.432,17.700,-4.700
0.939,-0.092,-0.168,-3.113,13.306,-6.165
0.938,-0.098,-0.126,-2.625,9.949,-5.676
0.949,-0.094,-0.104,-2.075,8.545,-4.395
0.962,-0.091,-0.086,-1.343,7.935,-3.662
0.959,-0.084,-0.079,-0.549,6.592,-3.296
0.950,-0.080,-0.095,-0.610,7.874,-2.930
0.954,-0.082,-0.087,-1.404,6.104,-2.869
0.964,-0.080,-0.055,-1.099,3.845,-2.747
0.964,-0.083,-0.060,0.061,4.395,-2.563
0.967,-0.091,-0.061,0.427,3.052,-2.625
0.952,-0.088,-0.079,0.977,4.028,-2.441
0.967,-0.086,-0.052,-0.244,1.526,-2.075
0.970,-0.062,-0.054,-1.831,0.000,-0.793
0.976,-0.051,-0.039,-2.075,-0.916,-0.427
0.978,-0.059,-0.008,-1.343,-1.892,-1.526
0.984,-0.057,0.009,-0.488,-2.869,-2.014
0.982,-0.072,0.016,-0.244,-2.747,-2.136
0.982,-0.071,0.030,0.366,-3.418,-1.892
0.982,-0.084,0.040,1.160,-2.930,-1.770
0.982,-0.085,0.034,1.465,-2.686,-1.404
0.982,-0.071,0.031,0.916,-2.747,-0.122
0.987,-0.068,0.051,1.099,-3.418,0.671
0.993,-0.050,0.082,2.136,-3.967,0.916
0.994,-0.045,0.074,2.380,-2.808,0.793
0.997,-0.045,0.053,2.747,-1.770,0.183
0.997,-0.057,0.064,2.319,-1.465,-0.427
0.999,-0.041,0.086,1.648,-1.526,0.000
1.002,-0.036,0.089,1.099,-0.732,-0.061
1.002,-0.040,0.075,1.343,-0.061,-0.610
0.999,-0.044,0.071,1.831,0.488,-0.916
0.994,-0.054,0.078,2.258,0.305,-0.916
0.991,-0.049,0.070,2.014,1.282,-0.427
0.993,-0.045,0.048,1.953,1.404,0.122
0.997,-0.056,0.082,1.587,0.488,0.183
0.999,-0.035,0.097,1.526,1.221,0.916
0.998,-0.033,0.080,1.892,1.526,0.732
0.997,-0.041,0.072,2.563,2.563,0.122
1.000,-0.034,0.069,1.892,2.747,0.183
1.001,-0.022,0.067,1.892,2.563,0.427
1.003,-0.008,0.069,1.526,2.808,0.366
1.009,0.000,0.067,1.343,2.991,-0.244
1.001,-0.010,0.039,1.465,3.906,-1.282
0.999,-0.030,0.027,1.160,3.601,-2.014
0.996,-0.033,0.028,0.549,3.601,-1.953
0.997,-0.026,0.036,-0.061,3.296,-1.770
0.994,-0.030,0.038,-0.305,3.174,-2.014
0.990,-0.041,0.033,-0.122,3.540,-2.197
0.988,-0.045,0.016,-0.122,3.601,-2.197
0.988,-0.050,0.022,-0.183,2.808,-2.197
0.990,-0.057,0.055,0.610,1.465,-2.136
0.989,-0.051,0.042,1.221,2.380,-1.953
0.985,-0.061,0.037,1.892,3.418,-2.075
0.988,-0.056,0.054,2.075,3.357,-1.953
0.999,-0.042,0.057,1.831,3.845,-1.587
1.000,-0.024,0.043,1.709,4.700,-1.831
0.999,-0.034,0.023,2.258,5.493,-2.197
0.993,-0.048,0.011,1.648,5.188,-2.563
0.992,-0.054,0.025,0.916,4.456,-2.441
0.992,-0.051,0.029,0.061,4.028,-2.258
0.987,-0.059,0.021,-0.366,4.517,-2.197
0.985,-0.067,0.023,-0.549,3.540,-2.197
0.985,-0.065,0.028,-0.488,2.747,-2.075
0.988,-0.061,0.019,-0.244,2.014,-1.770
0.989,-0.064,0.030,0.427,1.648,-1.648
0.985,-0.071,0.034,1.404,0.732,-1.770
0.979,-0.083,0.042,2.136,0.549,-1.892

0.544,-0.034,-1.744,-8.545,-111.450,-12.573
0.509,-0.044,-1.609,-7.263,-161.865,-16.479
